INTAKEID,RECVDATE,AE_CATEGORY,AE_SHORT,ADVERSE_EVENT,FINDING_DETAIL,ASPEN_FACID,NAME,ASPEN_FACTYPE_LABEL,LAT,LON
CA00833559,28-Mar-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA090000021,SHARP CHULA VISTA MEDICAL CENTER,General Acute Care Hospital,32.618934,-117.023508
CA00836261,14-Apr-23,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA090000021,SHARP CHULA VISTA MEDICAL CENTER,General Acute Care Hospital,32.618934,-117.023508
CA00929262,6-Nov-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated with deficiencies,CA060000040,LOS ANGELES GENERAL MEDICAL CENTER,General Acute Care Hospital,34.05627769,-118.2064778
CA00874083,11-Dec-23,01 - Surgical Events,01: Surgery Wrong Body Part,"01: Surgery Performed on a Wrong Body Part, Inconsistent with Informed Consent",Substantiated without deficiencies,CA14000000188,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,General Acute Care Hospital,37.82395945,-122.2578743
CA00915331,15-Aug-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00917433,27-Aug-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA030000151,"SUTTER MEDICAL CENTER, SACRAMENTO",General Acute Care Hospital,38.5709021,-121.4694505
CA00929985,12-Nov-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA250000044,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",General Acute Care Hospital,33.926868,-117.439101
CA00902818,3-Jun-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA250000049,RIVERSIDE COMMUNITY HOSPITAL,General Acute Care Hospital,33.976368,-117.3814065
CA00908060,5-Jul-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Unsubstantiated,CA250000049,RIVERSIDE COMMUNITY HOSPITAL,General Acute Care Hospital,33.976368,-117.3814065
CA00902033,28-May-24,01 - Surgical Events,04: Retained Foreign Object,04: Retention of a Foreign Object After Surgery/Procedure,Substantiated with deficiencies,CA2500004,KINDRED HOSPITAL RIVERSIDE,General Acute Care Hospital,33.812262,-117.2223315
CA00900453,17-May-24,04 - Care Management Events,17: Stage 3/4 Pressure Ulcer,"17: Stage 3 or 4 Pressure Ulcer, Acquired After Admission, Excluding Stage 2 Ulcers Recognized upon Admission",Substantiated without deficiencies,CA230000013,ENLOE HEALTH,General Acute Care Hospital,39.742164,-121.850289
